Wall time,Step,Value
1555573892.014693,0,1.8664075136184692
1555573964.6508424,1,1.6230368614196777
1555574036.9626086,2,1.60440194606781
1555574109.7597196,3,1.5960289239883423
1555574182.6784658,4,1.5913538932800293
1555574255.9153378,5,1.5877978801727295
1555574329.1905146,6,1.5860395431518555
1555574402.1525345,7,1.5831602811813354
1555574475.253916,8,1.5818036794662476
1555574548.3449197,9,1.5805851221084595
1555574619.980301,10,1.5793594121932983
1555574690.3567693,11,1.5784428119659424
1555574761.3452723,12,1.5773423910140991
1555574834.0867922,13,1.576555609703064
1555574908.0307298,14,1.5760083198547363
1555574979.8879712,15,1.575308918952942
1555575050.2975512,16,1.5746243000030518
1555575122.171017,17,1.5742865800857544
1555575198.034385,18,1.5738409757614136
1555575272.1742485,19,1.573361873626709
1555575347.205148,20,1.5734401941299438
1555575420.5670905,21,1.5721272230148315
1555575494.1234367,22,1.5719982385635376
1555575567.9813905,23,1.5722607374191284
1555575641.3383138,24,1.5721280574798584
1555575716.9381373,25,1.5710266828536987
1555575789.911452,26,1.5704412460327148
1555575863.4625788,27,1.5703035593032837
1555575940.0734682,28,1.5705890655517578
1555576016.3317814,29,1.5697145462036133
1555576092.2683403,30,1.5698950290679932
1555576166.7028792,31,1.5694105625152588
1555576239.682097,32,1.569885492324829
1555576313.269323,33,1.5692102909088135
1555576386.9561636,34,1.5691111087799072
1555576462.6631448,35,1.5688234567642212
1555576537.0592856,36,1.5686801671981812
1555576610.218277,37,1.568376064300537
1555576683.9665883,38,1.5679638385772705
1555576758.7379968,39,1.567809820175171
1555576832.9689662,40,1.5675766468048096
1555576907.1379538,41,1.5675089359283447
1555576983.2988591,42,1.5676063299179077
1555577058.3663282,43,1.567217469215393
1555577131.156283,44,1.5669513940811157
1555577204.957884,45,1.566618800163269
1555577278.1814394,46,1.5668402910232544
1555577352.7285187,47,1.5667611360549927
1555577427.0863633,48,1.5661520957946777
1555577500.104764,49,1.5663526058197021
1555577573.7894108,50,1.5662049055099487
1555577646.972785,51,1.565788745880127
1555577718.2289782,52,1.5656042098999023
1555577789.497419,53,1.5655407905578613
1555577860.9055207,54,1.5651293992996216
1555577932.2375534,55,1.5650221109390259
1555578004.027772,56,1.5652881860733032
1555578075.2696526,57,1.5649691820144653
1555578146.689976,58,1.5646886825561523
1555578218.0180578,59,1.564766764640808
1555578289.7304418,60,1.5647438764572144
1555578361.2378664,61,1.5643608570098877
1555578432.3531227,62,1.5642473697662354
1555578503.7215533,63,1.564592719078064
1555578575.055278,64,1.5643541812896729
1555578646.7627833,65,1.5643599033355713
1555578718.3055727,66,1.5641802549362183
1555578790.380951,67,1.56385338306427
1555578861.397479,68,1.5638710260391235
1555578933.348447,69,1.5635111331939697
1555579004.7833095,70,1.5638353824615479
1555579076.3738873,71,1.5635015964508057
1555579147.4388182,72,1.5636545419692993
1555579218.3982403,73,1.5633591413497925
1555579289.5687535,74,1.56329345703125
1555579361.0693057,75,1.5634688138961792
1555579432.2839954,76,1.5630333423614502
1555579504.0551162,77,1.5630630254745483
1555579575.429913,78,1.563084602355957
1555579646.9926176,79,1.562942624092102
1555579718.5782769,80,1.5628292560577393
1555579789.4937913,81,1.5630464553833008
1555579861.3059437,82,1.562366008758545
1555579932.5524285,83,1.562500238418579
1555580004.268139,84,1.562743067741394
1555580075.8984663,85,1.562285304069519
1555580147.0499096,86,1.5622199773788452
1555580219.1815207,87,1.5623259544372559
1555580290.0127935,88,1.5619065761566162
1555580361.484435,89,1.561907172203064
1555580432.8193562,90,1.5618820190429688
1555580504.1214542,91,1.5619257688522339
1555580575.3585346,92,1.5621417760849
1555580647.0489228,93,1.5619862079620361
1555580718.3341775,94,1.561465859413147
1555580789.5986643,95,1.5617790222167969
1555580861.06366,96,1.5616120100021362
