Wall time,Step,Value
1555522023.3839045,0,2.3299026489257812
1555522044.319421,1,2.1526906490325928
1555522069.1666877,2,2.0251107215881348
1555522096.2206655,3,1.944655418395996
1555522123.665695,4,1.880632758140564
1555522150.7767005,5,1.8384451866149902
1555522178.5216892,6,1.8118256330490112
1555522206.2458923,7,1.7960327863693237
1555522234.219253,8,1.7780141830444336
1555522261.4929473,9,1.7495722770690918
1555522289.50186,10,1.7312461137771606
1555522317.6307552,11,1.715334415435791
1555522345.2231114,12,1.7068428993225098
1555522373.2912757,13,1.6984649896621704
1555522401.3414674,14,1.6918003559112549
1555522429.8376765,15,1.6884084939956665
1555522457.4439404,16,1.6818701028823853
1555522485.911253,17,1.6798094511032104
1555522510.9218917,18,1.674340844154358
1555522538.9859936,19,1.6698869466781616
1555522566.8162446,20,1.6691169738769531
1555522594.6823776,21,1.6671406030654907
1555522622.5392005,22,1.665002465248108
1555522647.3004112,23,1.662927508354187
1555522672.1054442,24,1.6598927974700928
1555522699.9311628,25,1.65765380859375
1555522728.4196446,26,1.655753254890442
1555522756.488332,27,1.6530745029449463
1555522784.33055,28,1.6523714065551758
1555522812.6047194,29,1.65013587474823
1555522837.5881329,30,1.6491179466247559
1555522865.6427739,31,1.6463968753814697
1555522894.125826,32,1.6460273265838623
1555522919.314434,33,1.6455655097961426
1555522947.3423705,34,1.6440625190734863
1555522972.560394,35,1.6402662992477417
1555523000.6182294,36,1.6413472890853882
1555523029.7085063,37,1.6404160261154175
1555523054.691561,38,1.6370933055877686
1555523079.682008,39,1.6359686851501465
1555523104.8452144,40,1.635917067527771
1555523133.525815,41,1.6350767612457275
1555523161.5879297,42,1.635895013809204
1555523189.8566349,43,1.6343809366226196
1555523214.827752,44,1.6335991621017456
1555523240.0139534,45,1.6327303647994995
1555523265.4276702,46,1.6314107179641724
1555523290.8337536,47,1.632299542427063
1555523316.0099714,48,1.6301944255828857
1555523341.2106373,49,1.6285358667373657
1555523369.89312,50,1.6281497478485107
1555523394.8662515,51,1.6272393465042114
1555523423.5401688,52,1.6265851259231567
1555523449.13632,53,1.6265156269073486
1555523474.3173468,54,1.626449465751648
1555523502.983449,55,1.6258248090744019
1555523531.2654405,56,1.6238257884979248
1555523556.2476938,57,1.623862385749817
1555523581.4473362,58,1.6239218711853027
1555523606.6294725,59,1.6219767332077026
1555523631.8312035,60,1.620693325996399
1555523660.5015097,61,1.6203398704528809
1555523688.7640805,62,1.6206274032592773
1555523713.9422817,63,1.6210051774978638
1555523742.6408443,64,1.6197673082351685
1555523767.609085,65,1.6187667846679688
1555523796.4894783,66,1.6210780143737793
1555523821.4912267,67,1.61878502368927
1555523846.6795444,68,1.6199434995651245
1555523874.9403365,69,1.6184704303741455
1555523900.122532,70,1.617026925086975
1555523925.3219993,71,1.6156114339828491
1555523950.710815,72,1.6174914836883545
1555523976.1122057,73,1.614329218864441
1555524001.493157,74,1.6150612831115723
1555524026.8957675,75,1.6159727573394775
1555524055.1448305,76,1.6137211322784424
