Wall time,Step,Value
1555573892.015035,0,0.6859266757965088
1555573964.6511247,1,0.9272422790527344
1555574036.9629574,2,0.942735493183136
1555574109.7600021,3,0.949885368347168
1555574182.6787648,4,0.9538729786872864
1555574255.9157264,5,0.9573025703430176
1555574329.190769,6,0.9583992958068848
1555574402.152817,7,0.9611119627952576
1555574475.2542734,8,0.9623597860336304
1555574548.3452327,9,0.963468074798584
1555574619.9805486,10,0.9645260572433472
1555574690.3570018,11,0.9654095768928528
1555574761.3456078,12,0.966397762298584
1555574834.0871534,13,0.967168927192688
1555574908.0310395,14,0.96757972240448
1555574979.8882978,15,0.9681106209754944
1555575050.297801,16,0.9688701629638672
1555575122.1713207,17,0.9691647291183472
1555575198.0346909,18,0.969641387462616
1555575272.1745868,19,0.9699320197105408
1555575347.2054267,20,0.9697537422180176
1555575420.5673482,21,0.9711217284202576
1555575494.123827,22,0.9713038206100464
1555575567.9816833,23,0.970978319644928
1555575641.3385985,24,0.971106231212616
1555575716.9384422,25,0.9721641540527344
1555575789.9117131,26,0.9728307127952576
1555575863.4628868,27,0.9727686643600464
1555575940.073739,28,0.972571074962616
1555576016.3320966,29,0.9734313488006592
1555576092.2686472,30,0.9731872081756592
1555576166.7031887,31,0.9737840294837952
1555576239.6824675,32,0.9731833338737488
1555576313.2696323,33,0.9737374782562256
1555576386.956472,34,0.9738808870315552
1555576462.6634579,35,0.9742180109024048
1555576537.0596042,36,0.9743226766586304
1555576610.2185988,37,0.9746636748313904
1555576683.9668732,38,0.9751945734024048
1555576758.7382905,39,0.9751945734024048
1555576832.969297,40,0.9753379821777344
1555576907.1382406,41,0.9755433797836304
1555576983.2991636,42,0.9754425883293152
1555577058.366597,43,0.9757216572761536
1555577131.1565332,44,0.9760239124298096
1555577204.958204,45,0.9764346480369568
1555577278.1817858,46,0.9762176871299744
1555577352.7288182,47,0.9761362671852112
1555577427.0866728,48,0.976895809173584
1555577500.1050892,49,0.9765470623970032
1555577573.7897573,50,0.976651668548584
1555577646.9730155,51,0.977209746837616
1555577718.229232,52,0.9773414731025696
1555577789.4976432,53,0.9773530960083008
1555577860.9058452,54,0.9778258800506592
1555577932.2378497,55,0.9779344201087952
1555578004.0280616,56,0.9776243567466736
1555578075.2699256,57,0.9779770374298096
1555578146.6902494,58,0.9782018065452576
1555578218.0183651,59,0.9782173037528992
1555578289.7307804,60,0.9781320095062256
1555578361.2381172,61,0.9785311818122864
1555578432.3534117,62,0.9786978363990784
1555578503.7218232,63,0.9782211780548096
1555578575.0555634,64,0.9785234332084656
1555578646.7630792,65,0.978527307510376
1555578718.305864,66,0.9787443280220032
1555578790.3812037,67,0.9790000915527344
1555578861.3977857,68,0.9789458513259888
1555578933.3486989,69,0.979407012462616
1555579004.7835898,70,0.9790272116661072
1555579076.374124,71,0.9793798327445984
1555579147.4390955,72,0.979162871837616
1555579218.3985054,73,0.9795774817466736
1555579289.5690212,74,0.9796589016914368
1555579361.0696468,75,0.9793798327445984
1555579432.284248,76,0.9799262881278992
1555579504.0553992,77,0.9796976447105408
1555579575.4301586,78,0.979728639125824
1555579646.9928863,79,0.9798216223716736
1555579718.578542,80,0.9800618886947632
1555579789.4941292,81,0.979806125164032
1555579861.306245,82,0.9804726839065552
1555579932.552766,83,0.980352520942688
1555580004.2683942,84,0.9801665544509888
1555580075.898718,85,0.9804920554161072
1555580147.050216,86,0.9807400703430176
1555580219.1817856,87,0.9804726839065552
1555580290.013086,88,0.9808757305145264
1555580361.4847488,89,0.9809260964393616
1555580432.8196344,90,0.9808873534202576
1555580504.1217148,91,0.9807594418525696
1555580575.3588188,92,0.9805734157562256
1555580647.0492346,93,0.9808602333068848
1555580718.334459,94,0.981329083442688
1555580789.5988848,95,0.980988085269928
1555580861.0639603,96,0.9811702370643616
1555580932.3343341,97,0.9817553758621216
1555581003.488405,98,0.9812438488006592
1555581075.2134354,99,0.9813640117645264
1555581146.358778,100,0.981340765953064
1555581217.6125965,101,0.9817437529563904
1555581289.3183377,102,0.9818832874298096
1555581360.4899898,103,0.981925904750824
1555581431.7054772,104,0.9815810322761536
1555581503.3340132,105,0.9818987846374512
1555581574.403075,106,0.9822591543197632
1555581645.3801088,107,0.9822746515274048
1555581717.2889547,108,0.9821584224700928
1555581788.79182,109,0.9819530248641968
1555581859.8406205,110,0.9821545481681824
1555581931.857882,111,0.9823405742645264
1555582003.060648,112,0.9822359085083008
1555582074.3137133,113,0.982697069644928
1555582145.5526285,114,0.98261958360672
1555582216.4703813,115,0.982735812664032
1555582288.30072,116,0.9828482270240784
1555582359.4987125,117,0.982580840587616
1555582430.6172266,118,0.9824025630950928
1555582501.953151,119,0.9824606776237488
1555582572.994337,120,0.9828947186470032
1555582644.1819456,121,0.9829450845718384
1555582715.676089,122,0.9827435612678528
1555582786.7943268,123,0.9828327298164368
1555582858.4217234,124,0.983127236366272
1555582930.1465516,125,0.98271644115448
1555583001.5023837,126,0.9828792214393616
1555583072.9855895,127,0.9832318425178528
1555583144.485518,128,0.9833248853683472
1555583215.7317073,129,0.983127236366272
1555583286.866495,130,0.9829722046852112
1555583358.1471925,131,0.983038067817688
1555583429.483083,132,0.98384028673172
1555583500.6715226,133,0.9830148220062256
1555583572.0203218,134,0.9835690259933472
1555583643.1855407,135,0.9832357168197632
1555583714.8058712,136,0.9833442568778992
1555583785.83283,137,0.9835457801818848
1555583857.2249155,138,0.9834992289543152
